key;en
LEVEL;Lv%d
RETURN_TO_MAIN_MENU;RETURN TO MAIN MENU
CLICK_TO_CHANGE_PROFILE;CLICK TO CHANGE PROFILE
SELECT_PROFILE;SELECT PROFILE:
PROFILE_CREATE_CONFIRM;OK!
PROFILE_CREATE_HEADER;CREATE YOUR PROFILE:
SELECT_CATEGORY;SELECT A CATEGORY:
MASTERY_AVAILABLE;A new Mastery is available in the Token Shop:
TOKEN_SHOP_CATEGORY_UPGRADES;UPGRADES
TOKEN_SHOP_CATEGORY_MASTERIES;MASTERIES
TOKEN_SHOP_UPGRADE_TOKENEER;TOKENEER
TOKEN_SHOP_UPGRADE_TOKENEER_DESCRIPTION;Slightly increases your chance to find Tokens. Not recommended for new players.
TOKEN_SHOP_UPGRADE_SPECIALIST;SPECIALIST
TOKEN_SHOP_UPGRADE_SPECIALIST_DESCRIPTION;Gain a Favor slot. Favored items can be set to appear more or less often than normal.
TOKEN_SHOP_UPGRADE_ARTIFICER;ARTIFICER
TOKEN_SHOP_UPGRADE_ARTIFICER_DESCRIPTION;Adds 3% chance to find artifacts in item chests.
TOKEN_SHOP_UPGRADE_CRAFTER;CRAFTER
TOKEN_SHOP_UPGRADE_CRAFTER_DESCRIPTION;Improve your chance to salvalge ingredients.
TOKEN_SHOP_UPGRADE_CRAFTER_DESCRIPTION_4;<Reduces chance of crafting an Omen.>
TOKEN_SHOP_UPGRADE_CRAFTER_DESCRIPTION_5;<Improves your chance to craft multiple items.>
TOKEN_SHOP_UPGRADE_CHAOTE;CHAOTE
TOKEN_SHOP_UPGRADE_CHAOTE_DESCRIPTION;Increase the maximum number of Sigils you can have to %d.
TOKEN_SHOP_UPGRADE_HOARDER;HOARDER
TOKEN_SHOP_UPGRADE_HOARDER_DESCRIPTION;Gain a codex profile save slot.
TOKEN_SHOP_UPGRADE_XP_BOOST;XP BOOST
TOKEN_SHOP_UPGRADE_XP_BOOST_DESCRIPTION;Earn double Victory XP for the next 10 stages.\nCURRENTLY HAVE: %d REMAINING
TOKEN_SHOP_UPGRADE_QUEST_2;QUEST II
TOKEN_SHOP_UPGRADE_QUEST_2_DESCRIPTION;Unlocks the second quest.
TOKEN_SHOP_UPGRADE_QUEST_3;QUEST III
TOKEN_SHOP_UPGRADE_QUEST_3_DESCRIPTION;Unlocks the third quest.
TOKEN_SHOP_UPGRADE_QUEST_4;QUEST IV
TOKEN_SHOP_UPGRADE_QUEST_4_DESCRIPTION;Unlocks the fourth quest.
TOKEN_SHOP_UPGRADE_QUEST_5;QUEST V
TOKEN_SHOP_UPGRADE_QUEST_5_DESCRIPTION;Unlocks the fifth quest.
TOKEN_SHOP_UPGRADE_QUEST_2H;[H] QUEST II
TOKEN_SHOP_UPGRADE_QUEST_2H_DESCRIPTION;Unlocks the second quest on Hard.
TOKEN_SHOP_UPGRADE_QUEST_3H;[H] QUEST III
TOKEN_SHOP_UPGRADE_QUEST_3H_DESCRIPTION;Unlocks the third quest on Hard.
TOKEN_SHOP_UPGRADE_QUEST_4H;[H] QUEST IV
TOKEN_SHOP_UPGRADE_QUEST_4H_DESCRIPTION;Unlocks the fourth quest on Hard.
TOKEN_SHOP_UPGRADE_QUEST_5H;[H] QUEST V
TOKEN_SHOP_UPGRADE_QUEST_5H_DESCRIPTION;Unlocks the fifth quest on Hard.
CHARGES;<1:charge|charges>
MASTERY_NONE;No mastery
MASTERY_NOVICE;NOVICE
MASTERY_NOVICE_DESCRIPTION_1;Reduce your score by half. If you make a mistake on a necessary guess, reduce incoming damage to 1.
MASTERY_NOVICE_DESCRIPTION_2;If you die with 300 or more points, revive and reduce your score to 0.
MASTERY_NOVICE_DESCRIPTION_3;Focus an area where you can make progress.
MASTERY_NOVICE_ABILITY;Focus an area where you can make progress.
MASTERY_NOVICE_UNLOCK_1;Unlock by discovering a 4 or greater.
MASTERY_NOVICE_UNLOCK_2;Unlock II by discovering a 5 or greater.
MASTERY_NOVICE_UNLOCK_3;Unlock III by discovering a 6 or greater.
MASTERY_SURVIVOR;SURVIVOR
MASTERY_SURVIVOR_DESCRIPTION_1;Begin the quest with 1 extra max life.
MASTERY_SURVIVOR_DESCRIPTION_2;At the end of each stage, gain max life equal to the minimum power if you are injured.
MASTERY_SURVIVOR_DESCRIPTION_3;Solve a number of cells equal to your missing life, then heal to full.
MASTERY_SURVIVOR_ABILITY;Solve a number of cells equal to your missing life, then heal to full.
MASTERY_SURVIVOR_UNLOCK_1;Unlock by completing a quest with 10 or more lives.
MASTERY_SURVIVOR_UNLOCK_2;Unlock II by completing a quest with 20 or more lives.
MASTERY_SURVIVOR_UNLOCK_3;Unlock III by completing a quest with 30 or more lives.
MASTERY_GUARDIAN;GUARDIAN
MASTERY_KNIGHT;KNIGHT
MASTERY_HUNTER;HUNTER
MASTERY_WIZARD;WIZARD
MASTERY_WITCH;WITCH
MASTERY_WARLOCK;WARLOCK
MASTERY_SPY;SPY
MASTERY_BARBARIAN;BARBARIAN
MASTERY_COMMANDER;COMMANDER
MASTERY_FIREFLY;FIREFLY
MASTERY_SNOWFLAKE;SNOWFLAKE
MASTERY_SPARK;SPARK
MASTERY_SCHOLAR;SCHOLAR
MASTERY_BUBBLER;BUBBLER
MASTERY_MUTANT;MUTANT
MASTERY_DETECTIVE;DETECTIVE
MASTERY_SCOUT;SCOUT
MASTERY_BANKER;BANKER
MASTERY_BANKER_DESCRIPTION_1;Begin the quest with 15 extra coins.
MASTERY_BANKER_DESCRIPTION_2;Chests contain double coins.
MASTERY_BANKER_DESCRIPTION_3;Double your coins.
MASTERY_BANKER_ABILITY;Double your coins.
MASTERY_BANKER_UNLOCK_1;Unlock by completing a quest on Normal or above with 100 or more coins
MASTERY_BANKER_UNLOCK_2;Unlock II by completing a quest on Normal or above with 200 or more coins
MASTERY_BANKER_UNLOCK_3;Unlock III by completing a quest on Normal or above with 300 or more coins
MASTERY_MARKSMAN;MARKSMAN
MASTERY_LUMBERJACK;LUMBERJACK
MASTERY_EXORCIST;EXORCIST
MASTERY_UNDERTAKER;UNDERTAKER
MASTERY_DEMOLITIONIST;DEMOLITIONIST
MASTERY_PROTAGONIST;PROTAGONIST
MASTERY_HUMAN;HUMAN
MASTERY_HYPNOTIST;HYPNOTIST
MASTERY_NINJA;NINJA
MASTERY_BOOKWORM;BOOKWORM
MASTERY_AURAMANCER;AURAMANCER
MASTERY_IMMORTAL;IMMORTAL
MASTERY_POISONER;POISONER
MASTERY_GHOST;GHOST
MASTERY_PROPHET;PROPHET
SELECT_QUEST;SELECT A QUEST:
DIFFICULTY_CASUAL;CASUAL DIFFICULTY
DIFFICULTY_NORMAL;NORMAL DIFFICULTY
QUEST_COMPLETIONS;COMPLETED
QUEST_BEST;BEST
EDIT_LOADOUT;EDIT YOUR LOADOUT:
MASTERIES;MASTERIES
MASTERY_EDIT_SUBTEXT;%d/%d COMPLETED
SPECIAL_CHESTS;SPECIAL CHESTS
SPECIAL_CHESTS_EDIT_SUBTEXT;%d/%d UNLOCKED
SIGILS;SIGILS
SIGILS_EDIT_SUBTEXT;%d/%d COLLECTED
RETURN_TO_QUESTS;RETURN TO QUESTS
STAGE_REWARD_VICTORY;VICTORY
STAGE_REWARD_VICTORY_SUBTEXT;You beat the stage.
STAGE_REWARD_FLAGLESS;FLAGLESS
STAGE_REWARD_UNTOUCHABLE;UNTOUCHABLE
STAGE_REWARD_UNTOUCHABLE_SUBTEXT;You took no damage.
STAGE_REWARD_FAST;FAST
STAGE_REWARD_THRIFTY;THRIFTY
STAGE_REWARD_THRIFTY_SUBTEXT;You skipped three or more special stages.
STAGE_REWARD_CHARITABLE;CHARITABLE
STAGE_REWARD_CHARITABLE_SUBTEXT;You left some loot behind. How kind of you!
STAGE_REWARD_HEARTLESS;HEARTLESS
MUST_GUESS;You must make a guess to proceed.
CHOOSE_ITEM;CHOOSE AN ITEM:
BUY_ITEM;BUY NOW!
LEAVE;LEAVE
STATS_YOUR_OVERVIEW;YOUR OVERVIEW
OVERVIEW_SCORE;Score: {score} pts
OVERVIEW_CELLS_OPENED_SINCE_MISTAKE;Cells opened since last mistake: {cells}
