key;en
ITEM_BANANA_PEEL;Banana Peel
ITEM_BANANA_PEEL_DESCRIPTION;Enchant target visible cell: each turn, kill any living object in this cell.
ITEM_BONES;Bones
ITEM_BONES_DESCRIPTION;Bury in a random cell to give it Sanctified, then restore lives equal to the cell's value.
ITEM_APPLE;Apple
ITEM_APPLE_DESCRIPTION;Restore 1 life.
ITEM_TRAPPER;Trapper
ITEM_TRAPPER_DESCRIPTION;Flag a monster when you begin a stage.
ITEM_EXTRA_POCKET;Extra Pocket
ITEM_EXTRA_POCKET_DESCRIPTION;You may find duplicate items. When you enter a stage, reduce the minimum power by your highest number of duplicates.
ITEM_LOUPE;Loupe
ITEM_LOUPE_DESCRIPTION;Diamonds are worth 1 more coin.
ITEM_WALLET;Wallet
ITEM_WALLET_DESCRIPTION;Item Shops have 1 extra item.
ITEM_LIQUID_GOLD;Liquid Gold
ITEM_LIQUID_GOLD_DESCRIPTION;When you spend coins, this transforms into an item worth the amount spent.
ITEM_WOODEN_BOW;Wooden Bow
ITEM_WOODEN_BOW_DESCRIPTION;Reveal target cell if it's not already open. If the cell has a monster, kill it, otherwise you lose this item.
