key;en
LEVEL;Lv%d
RETURN_TO_MAIN_MENU;RETURN TO MAIN MENU
CLICK_TO_CHANGE_PROFILE;CLICK TO CHANGE PROFILE
SELECT_PROFILE;SELECT PROFILE:
PROFILE_CREATE_CONFIRM;OK!
PROFILE_CREATE_HEADER;CREATE YOUR PROFILE:
SELECT_CATEGORY;SELECT A CATEGORY:
TOKEN_SHOP_CATEGORY_UPGRADES;UPGRADES
TOKEN_SHOP_CATEGORY_MASTERIES;MASTERIES
TOKEN_SHOP_UPGRADE_TOKENEER;TOKENEER
TOKEN_SHOP_UPGRADE_TOKENEER_DESCRIPTION;Slightly increases your chance to find Tokens. Not recommended for new players.
TOKEN_SHOP_UPGRADE_SPECIALIST;SPECIALIST
TOKEN_SHOP_UPGRADE_SPECIALIST_DESCRIPTION;Gain a Favor slot. Favored items can be set to appear more or less often than normal.
TOKEN_SHOP_UPGRADE_ARTIFICER;ARTIFICER
TOKEN_SHOP_UPGRADE_ARTIFICER_DESCRIPTION;Adds 3% chance to find artifacts in item chests.
TOKEN_SHOP_UPGRADE_CRAFTER;CRAFTER
TOKEN_SHOP_UPGRADE_CRAFTER_DESCRIPTION;Improve your chance to salvalge ingredients.
TOKEN_SHOP_UPGRADE_CRAFTER_DESCRIPTION_4;<Reduces chance of crafting an Omen.>
TOKEN_SHOP_UPGRADE_CRAFTER_DESCRIPTION_5;<Improves your chance to craft multiple items.>
TOKEN_SHOP_UPGRADE_CHAOTE;CHAOTE
TOKEN_SHOP_UPGRADE_CHAOTE_DESCRIPTION;Increase the maximum number of Sigils you can have to %d.
TOKEN_SHOP_UPGRADE_HOARDER;HOARDER
TOKEN_SHOP_UPGRADE_HOARDER_DESCRIPTION;Gain a codex profile save slot.
TOKEN_SHOP_UPGRADE_XP_BOOST;XP BOOST
TOKEN_SHOP_UPGRADE_XP_BOOST_DESCRIPTION;Earn double Victory XP for the next 10 stages.\nCURRENTLY HAVE: %d REMAINING
TOKEN_SHOP_UPGRADE_QUEST_2;QUEST II
TOKEN_SHOP_UPGRADE_QUEST_2_DESCRIPTION;Unlocks the second quest.
TOKEN_SHOP_UPGRADE_QUEST_3;QUEST III
TOKEN_SHOP_UPGRADE_QUEST_3_DESCRIPTION;Unlocks the third quest.
TOKEN_SHOP_UPGRADE_QUEST_4;QUEST IV
TOKEN_SHOP_UPGRADE_QUEST_4_DESCRIPTION;Unlocks the fourth quest.
TOKEN_SHOP_UPGRADE_QUEST_5;QUEST V
TOKEN_SHOP_UPGRADE_QUEST_5_DESCRIPTION;Unlocks the fifth quest.
TOKEN_SHOP_UPGRADE_QUEST_2H;[H] QUEST II
TOKEN_SHOP_UPGRADE_QUEST_2H_DESCRIPTION;Unlocks the second quest on Hard.
TOKEN_SHOP_UPGRADE_QUEST_3H;[H] QUEST III
TOKEN_SHOP_UPGRADE_QUEST_3H_DESCRIPTION;Unlocks the third quest on Hard.
TOKEN_SHOP_UPGRADE_QUEST_4H;[H] QUEST IV
TOKEN_SHOP_UPGRADE_QUEST_4H_DESCRIPTION;Unlocks the fourth quest on Hard.
TOKEN_SHOP_UPGRADE_QUEST_5H;[H] QUEST V
TOKEN_SHOP_UPGRADE_QUEST_5H_DESCRIPTION;Unlocks the fifth quest on Hard.
MASTERY_NOVICE;NOVICE
MASTERY_NOVICE_UNLOCK_DESCRIPTION_1;• Reduce your score by half. If you make a mistake on a necessary guess, reduce incoming damage to 1.\n\n(Unlock I by discovering a 4 or greater.)
MASTERY_SURVIVOR;SURVIVOR
MASTERY_GUARDIAN;GUARDIAN
MASTERY_KNIGHT;KNIGHT
MASTERY_HUNTER;HUNTER
MASTERY_WIZARD;WIZARD
MASTERY_WITCH;WITCH
MASTERY_WARLOCK;WARLOCK
MASTERY_SPY;SPY
MASTERY_BARBARIAN;BARBARIAN
MASTERY_COMMANDER;COMMANDER
MASTERY_FIREFLY;FIREFLY
MASTERY_SNOWFLAKE;SNOWFLAKE
MASTERY_SPARK;SPARK
MASTERY_SCHOLAR;SCHOLAR
MASTERY_BUBBLER;BUBBLER
MASTERY_MUTANT;MUTANT
MASTERY_DETECTIVE;DETECTIVE
MASTERY_SCOUT;SCOUT
MASTERY_BANKER;BANKER
MASTERY_MARKSMAN;MARKSMAN
MASTERY_LUMBERJACK;LUMBERJACK
MASTERY_EXORCIST;EXORCIST
MASTERY_UNDERTAKER;UNDERTAKER
MASTERY_DEMOLITIONIST;DEMOLITIONIST
MASTERY_PROTAGONIST;PROTAGONIST
MASTERY_HUMAN;HUMAN
MASTERY_HYPNOTIST;HYPNOTIST
MASTERY_NINJA;NINJA
MASTERY_BOOKWORM;BOOKWORM
MASTERY_AURAMANCER;AURAMANCER
MASTERY_IMMORTAL;IMMORTAL
MASTERY_POISONER;POISONER
MASTERY_GHOST;GHOST
MASTERY_PROPHET;PROPHET
SELECT_QUEST;SELECT A QUEST:
DIFFICULTY_CASUAL;CASUAL DIFFICULTY
DIFFICULTY_NORMAL;NORMAL DIFFICULTY
QUEST_COMPLETIONS;COMPLETED
QUEST_BEST;BEST
STAGE_REWARD_VICTORY;VICTORY
STAGE_REWARD_VICTORY_SUBTEXT;You beat the stage.
STAGE_REWARD_FLAGLESS;FLAGLESS
STAGE_REWARD_UNTOUCHABLE;UNTOUCHABLE
STAGE_REWARD_UNTOUCHABLE_SUBTEXT;You took no damage.
STAGE_REWARD_FAST;FAST
STAGE_REWARD_THRIFTY;THRIFTY
STAGE_REWARD_CHARITABLE;CHARITABLE
STAGE_REWARD_CHARITABLE_SUBTEXT;You left some loot behind. How kind of you!
STAGE_REWARD_HEARTLESS;HEARTLESS
STATS_YOUR_OVERVIEW;YOUR OVERVIEW
SCORE;Score
POINTS_ABBR;pts
CELLS_OPENED_SINCE_MISTAKE;Cells opened since last mistake
MORALITY;Morality
CHAIN_LENGTH;Chain length
TURNS;turns
CHAIN_VALUE;Chain value
CHAIN_SUM;Chain sum
CHESTS_OPENED;Chests opened
MONSTERS_KILLED;Monsters killed
XP;XP
LIVES_HOVER;LIVES
LIVES_HOVER_SUBTEXT;Make sure you have at least 1.
DEFENSE_HOVER;DEFENSE
DEFENSE_HOVER_SUBTEXT;Reduces incoming damage to a minimum of 1.
COINS_HOVER;COINS
COINS_HOVER_SUBTEXT;Spend money at shops.
LORE_LOCKED;You may purchase this quest from the Token Shop.
LORE_LOCKED_CASUAL;You must complete the previous quest to unlock this one.
LORE_TUTORIAL;Learn the basics of DemonCrawl!
LORE_GLORY_DAYS;The king has tasked you with the delivery of an important message to a land across the great waters. Use your renowned tracking skills to avoid the monsters along the way!
LORE_RESPITES_END;Years have gone by in the flash of an eye. The glory days are long behind you. How exactly did your adventure end? What lay beyond the brink? It seems you've grown a bit fuzzy on the details. Regardless, there are more pressing matters to attend to - your quiet farm life has been interrupted by a strange new evil!
LORE_ANOTHER_WAY;Despite your best efforts, the kingdom has fallen. Shadows run rampant across the lands. Some say you never really made it out of that dungeon. But you and I both know that's not true, right? You're awake now, in a strange place. Let the real adventure begin.
LORE_AROUND_THE_BEND;It's becoming more difficult to distinguish between reality and fiction. Know this, my friend: the machine is real. It powers our world. Not many have seen behind the curtain... many don't want to. They are afraid to learn what lies below.
LORE_SHADOWMAN;You're still here, are you? Desperate for the truth? Well, don't say I didn't warn you. When you get to the very end, and see what lies on the other side, just remember that we were trying to protect you. If you have any sense, you'll turn back now.
LORE_ENDLESS_MULTIVERSE;Infinite variations. One destination. Delay the inevitable annihilation of your soul for as long as you can.
LORE_HERO_TRIALS;Put your mettle to the test with a new adventure every day! Can you survive these wartorn lands?
LOCKED;Locked
QUEST_TUTORIAL;Tutorial
QUEST_GLORY_DAYS;Glory Days
QUEST_RESPITES_END;Respite's End
QUEST_ANOTHER_WAY;Another Way
QUEST_AROUND_THE_BEND;Around the Bend
QUEST_SHADOWMAN;Shadowman
QUEST_ENDLESS_MULTIVERSE;Endless Multiverse
QUEST_HERO_TRIALS;Hero Trials
STAGE_PROPERTY_SPECIAL;SPECIAL STAGE!
STAGE_PROPERTY_COMPLETE;STAGE COMPLETE!
STAGE_LORE_LOCKED;Play more stages to reveal this stage.
