key;en

beyond.current-artifacts;You have {artifacts} artifacts:
beyond.current-emblems;You have {emblems} emblems:
beyond.fee;{token_fee} Token fee
beyond.current-tokens;(you have {tokens} Tokens)
beyond.artifact-slot-tooltip;INSERT ARTIFACT HERE
beyond.emblem-slot-tooltip;INSERT OPTIONAL EMBLEM HERE
beyond.glint-slot-tooltip;INSERT OPTIONAL GLINT HERE
beyond.artifact-too-expensive;Your selected emblem requires at least {artifact_cost} {artifact_name}!

beyond.emblem.description.level;Lv{level} Emblem
beyond.emblem.description.cost;Costs {tokens} Tokens and {artifacts} artifacts per slot

beyond.emblem.area-51;Area 51
beyond.emblem.area-51.lore;They're not just here to chew our bubblegum.
beyond.emblem.barrels-of-fun;Barrels of Fun
beyond.emblem.barrels-of-fun.lore;Don't try this at home.
beyond.emblem.barrels-of-fun.effect.1;Gain 8 Powder Kegs
beyond.emblem.barrels-of-fun.effect.2;Gain 4 Morel
beyond.emblem.beach-resort;Beach Resort
beyond.emblem.beach-resort.lore;We'll provide the Beach Balls.
beyond.emblem.big-bang;Big Bang
beyond.emblem.big-bang.lore;Size matters.
beyond.emblem.breaking-the-seal;Breaking the Seal
beyond.emblem.breaking-the-seal.lore;What's mine is mine.
beyond.emblem.breaking-the-seal.descripton.1;All stages gain Sealed mod
beyond.emblem.breaking-the-seal.descripton.2;Gain Handbell
beyond.emblem.breaking-the-seal.descripton.3;Gain Medusa Head
beyond.emblem.computer-simulation;Computer Simulation
beyond.emblem.computer-simulation.lore;0111010001101000011010\n0101110011011010010111\n0011011011100110111101\n1101000111010001101000\n0110010101110010011001\n0101100001011011000111\n0111011011110111001001\n10110001100100
beyond.emblem.constant-reminder;Constant Reminder
beyond.emblem.constant-reminder.lore;Time moves slow.
beyond.emblem.day-of-reckoning;Day of Reckoning
beyond.emblem.day-of-reckoning.lore;The disaster of today is the discovery of tomorrow.
beyond.emblem.exclusion-zone;Exclusion Zone
beyond.emblem.exclusion-zone.lore;The air is not fit for breathing.
beyond.emblem.high-voltage;High Voltage
beyond.emblem.high-voltage.lore;The harnessing of human nature to meet human needs.
beyond.emblem.house-of-santa;House of Santa
beyond.emblem.house-of-santa.lore;Next stop: the North Pole!
beyond.emblem.infinity-knot;Infinity Knot
beyond.emblem.infinity-knot.lore;When you look into an abyss, the abyss also looks into you.
beyond.emblem.information-overload;Information Overload
beyond.emblem.information-overload.lore;My brain hurts.
beyond.emblem.lost-soul;Lost Soul
beyond.emblem.lost-soul.lore;Figures from the past stand tall.
beyond.emblem.maniacs-heart;Maniac's Heart
beyond.emblem.maniacs-heart.lore;The heart wants what the heart wants.
beyond.emblem.midnight-voyage;Midnight Voyage
beyond.emblem.midnight-voyage.lore;What dangers lie in the dark?
beyond.emblem.midnight-voyage.description.1;All stages gain Dark mod
beyond.emblem.midnight-voyage.description.2;Gain Lantern
beyond.emblem.no-tomorrow;No Tomorrow
beyond.emblem.no-tomorrow.lore;A quest begun is half done.
beyond.emblem.pumpkin-patch;Pumpkin Patch
