key;en

item.abacus;Abacus
item.abacus.description;If you have to guess, solve a random cell. Repeat until you no longer have to guess.
item.ace-of-spades;Ace of Spades
item.ace-of-spades.description;If the sum value of target visible 3x3 area is exactly 21, gain a revive.
item.acupuncture;Acupuncture
item.acupuncture.description;Lose 1 life and gain 2 defense.
item.adrenaline;Adrenaline
item.adrenaline.description;Gain 5 defense. Every 30 turns, lose 1 defense until you have none.
item.adventurer's-hat;Adventurer's Hat
item.adventurer's-hat.description;[1 Head Armor] Fortify by 5 whenever you gain a legendary or divine item.
item.alchemize;Alchemize
item.alchemize.description;Transform all of your items into 10 coins each.
item.alcohol;Alcohol
item.alcohol.description;Full heal, then gain souls equal to your life. Every 5 turns, you lose 1 life.
item.alien-blaster;Alien Blaster
item.alien-blaster.description;Does weird things to a target living object. Maybe we shouldn't mess with this?
item.allgem;Allgem
item.allgem.description;Enchant target cell: apply a random aura to this cell each turn.
item.altar-of-blood;Altar of Blood
item.altar-of-blood.description;Automatically discharges whenever you take less damage than the max stage power. The max stage power becomes the amount of damage taken.
item.amber-of-healing;Amber of Healing
item.amber-of-healing.description;Target cell gains or loses Sanctified.
item.ambrosia;Ambrosia
item.ambrosia.description;Every 400 cells opened, you win the current stage.
item.ancient-coin;Ancient Coin
item.ancient-coin.description;Gain coins equal to the combined value of the visible cells with the highest value.
item.ancient-evil;Ancient Evil
item.ancient-evil.description;When you enter the final stage, lose this item and gain two omens.
item.angel-of-stone;Angel of Stone
item.angel-of-stone.description;Guarantees 1 Mystic Statue per stage. Whenever you activate a Mystic Statue, restore 5 lives.
item.ankh.divine;Divine Ankh
item.ankh.divine.description;Negates death once. At the end of the stage, if you've opened at least 50 cells without making a mistake and have no revives, gain a revive.
item.ankh;Ankh
item.ankh.description;Negates death once.
item.antipoison;Antipoison
item.antipoison.description;Destroy all of your status effect omens. For the next 10 turns, you are immune to omens.
item.anvil;Anvil
item.anvil.description;Gain a random armor item whenever you enter a special stage. Whenever you gain defense, fortify all of your armor by the same amount.
item.appetizer;Appetizer
item.appetizer.description;Restore 1 life whenever you spend at least 5 coins.
item.apple;Apple
item.apple.description;Restore 1 life.
item.apple-bonsai;Apple Bonsai
item.apple-bonsai.description;After 10 turns, gain an Apple.
item.arcane-barrier;Arcane Barrier
item.arcane-barrier.description;Whenever a monster is revealed, activate a random targeted magic item on its cell before taking damage.
item.arcane-staff;Arcane Staff
item.arcane-staff.description;The first diamond you collect each turn will fully charge a random magic item.
item.archmage-sceptre;Archmage Sceptre
item.archmage-sceptre.description;Whenever a heart is collected, duplicast your magic items.
item.archon-shield;Archon Shield
item.archon-shield.description;Monsters roll five times for damage and use the weakest result.
item.aspect-of-the-bear;Aspect of the Bear
item.aspect-of-the-bear.description;Every 100 cells you open, restore your life to max.
item.aspect-of-the-owl;Aspect of the Owl
item.aspect-of-the-owl.description;Every 100 cells you open, fully charge your magic items.
item.astral-spike;Astral Spike
item.astral-spike.description;Targeted items affect the entire column of cells.
item.astrolabe;Astrolabe
item.astrolabe.description;At the start of each stage, reveal any cells that have guaranteed objects in a 3x3 area.
item.auramancer-doll;Auramancer Doll
item.auramancer-doll.description;Apply random auras to a number of cells equal to triple your mastery charges at the start of each stage, and when your mastery ability is activated.
item.auramancer's-memento;Auramancer's Memento
item.auramancer's-memento.description;Increase your life cap for the next dimension by 3 for each different type of aura in the Metagate.
item.badge-of-honor;Badge of Honor
item.badge-of-honor.description;Every 15 cells you open without making a mistake, reduce the monster count of all other stages by 1.
item.badge-of-infamy;Badge of Infamy
item.badge-of-infamy.description;Whenever a monster dies or flees, reduce the monster count of all other stages.
item.bag-of-coal;Bag of Coal
item.bag-of-coal.description;Automatically discharges when you lose morality. Gain Coal, then apply Burning to a random cell for each Coal you have.
item.bag-of-tricks;Bag of Tricks
item.bag-of-tricks.description;Use random targeted magic effect on target 3x3 area. Do you feel lucky, punk?
item.bag-of-tricks.divine;Divine Bag of Tricks
item.bag-of-tricks.divine.description;Use random targeted magic effects on target 3x3 area. This could get messy.
item.bagman-medal;Bagman Medal
item.bagman-medal.description;Stages have an additional Bagman.
item.ball-and-chain;Ball and Chain
item.ball-and-chain.description;You will not discover landmarks.
item.banana;Banana
item.banana.description;Gain 2 defense, then transform this into Banana Peel.
item.banana-peel;Banana Peel
item.banana-peel.description;Enchant target visible cell: each turn, kill any living object in this cell.
item.bandana;Bandana
item.bandana.description;[2 Head Armor] Instead of spending coins, reduce the durability of this armor by 1.
item.bank-roll;Bank Roll
item.bank-roll.description;Automatically discharges when you spend coins. Gain the amount of coins spent.
item.banker-doll;Banker Doll
item.banker-doll.description;Gain 5 coins times your mastery charges at the start of each stage, and when your ultimate ability is activated.
item.banker's-memento;Banker's Memento
item.banker's-memento.description;If you step through the Dimensional Portal with at least 100 coins, you will start the next dimension with 30 coins.
item.banner.divine;Divine Banner
item.banner.divine.description;Spawn a familiar in target empty cell, the value of which then determines the number of additional Familiars to spawn.
item.banner;Banner
item.banner.description;Spawn a familiar in target empty cell.
item.barbarian-doll;Barbarian Doll
item.barbarian-doll.description;Activate Rotting Head for every 2 mastery charges at the start of each stage, and when your ultimate ability is activated.
item.barbarian's-memento;Barbarian's Memento
item.barbarian's-memento.description;Whenever a Guide is killed, reduce the cost of other visible Guides by 10.
item.barbecue.divine;Divine Barbecue
item.barbecue.divine.description;Destroy all of your Minions and spawn 2 souls for each.
item.barbecue;Barbecue
item.barbecue.description;Consume a random meat item to gain a soul.
item.barricade;Barricade
item.barricade.description;Spawn a familiar near target visible cell, then enchant the target cell: block living objects and disperse projectiles.
item.baseball-bat;Baseball Bat
item.baseball-bat.description;You may left click a projectile to rotate its direction of travel, clockwise.
item.basilisk-eye;Basilisk Eye
item.basilisk-eye.description;Solve a number of random cells equal to your sealed inventory slots plus 1.
item.battering-ram;Battering Ram
item.battering-ram.description;At the start of each stage, reveal all cells near visible cells and kill any monsters within.
item.battery;Battery
item.battery.description;Fully charge your mastery.
item.battleaxe;Battleaxe
item.battleaxe.description;You can powerchord any cell of value 4 or greater.
item.batwing-boots;Batwing Boots
item.batwing-boots.description;[3 Leg Armor] Every 50 turns, gain a random omen if you just clicked on a 3 or greater.
item.beach-ball.divine;Divine Beach Ball
item.beach-ball.divine.description;Made of indestructible materials.
item.beach-ball;Beach Ball
item.beach-ball.description;Throw at target stranger and be prepared to have a radical time, dude!
item.beacon;Beacon
item.beacon.description;Whenever a monster is revealed by an effect, it has a 50% chance to flee.
item.beaker;Beaker
item.beaker.description;Scientists are more common and cost half as much. You may right click a Scientist to change his effect for 1 coin.
item.beggar's-cup;Beggar's Cup
item.beggar's-cup.description;Activate all visible strangers for free.
item.bellows;Bellows
item.bellows.description;Whenever you discover a 5 or greater, it gains Burning. Burning cells have a 5% chance to send a Flare in a random direction each turn.
item.berserker-necklace;Berserker Necklace
item.berserker-necklace.description;You have an additional 5% chance to powerchord.
item.berserker-ring;Berserker Ring
item.berserker-ring.description;You have an additional 3% chance to powerchord.
item.big-candy;Big Candy
item.big-candy.description;50% chance to spawn a heart during the next 100 turns.
item.big-fish;Big Fish
item.big-fish.description;Cook by removing Burning from target visible cell, then restore 3 lives. Or sell raw at an Item Shop for 30 coins.
item.big-minion;Big Minion
item.big-minion.description;Whenever you discover a 5 or greater, reveal a random nearby 3x3 area and kill any monsters within. If you're about to take damage, this Minion will sacrifice itself to deflect 10 damage.
item.big-wallet;Big Wallet
item.big-wallet.description;Shops have 3 extra items.
item.bindle;Bindle
item.bindle.description;Nomads are more common and cost half as much. You may right click a Nomad to refresh his inventory for 3 coins.
item.binoculars;Binoculars
item.binoculars.description;Minions spawn in the wild.
item.binoculars.divine;Divine Binoculars
item.binoculars.divine.description;Lots of Minions spawn in the wild.
item.birthright;Birthright
item.birthright.description;Gain a random favored item at the start of each stage. You are even more likely to find favored items.
item.black-belt;Black Belt
item.black-belt.description;When you enter a stage, gain souls equal to the number of times your mastery's ultimate ability has been activated.
item.black-rose;Black Rose
item.black-rose.description;Every 20 turns, convert all visible loot to omens.
item.blackmail;Blackmail
item.blackmail.description;When you would gain an item, lose this item instead.
item.blacksmith-medal;Blacksmith Medal
item.blacksmith-medal.description;Stages have an additional Blacksmith.
item.bleeding-heart;Bleeding Heart
item.bleeding-heart.description;Whenever you lose life, lose the same amount of life after 50 turns.
item.blessed-clasp;Blessed Clasp
item.blessed-clasp.description;Each stage, negate incoming damage until after your first mistake.
item.blighted-totem;Blighted Totem
item.blighted-totem.description;Every 50 turns, increase the power of all stages by 1.
item.blind-justice;Blind Justice
item.blind-justice.description;Whenever you gain an omen, destroy it as well as the first item in your inventory.
item.blindfold;Blindfold
item.blindfold.description;When you enter a stage, it gains a random stage mod.
item.blissful-amulet;Blissful Amulet
item.blissful-amulet.description;40% chance to spawn a heart whenever you pick up a coin.
item.blissful-gut;Blissful Gut
item.blissful-gut.description;Right-click to consume the first item in your inventory and restore 1 life.
item.blissful-ring;Blissful Ring
item.blissful-ring.description;20% chance to spawn a heart whenever you pick up a coin.
item.blood-compass;Blood Compass
item.blood-compass.description;Solve a cell and lose 1 life. This item has a 90% chance to remain charged after use.
