key;en

stage.alcove;Alcove
stage.alcove.description;A place from another time.
stage.alcove.sign;EVEN MONSTERS NEED A QUIET SPOT
stage.arctic;Arctic
stage.arctic.description;Drift ever toward subzero.
stage.arctic.sign;HELP! IT IS VERY COLD HERE!
stage.ash;Ash
stage.ash.description;The meadow of departed souls.
stage.ash.sign;WHERE ARE ALL THE FLOWERS?
stage.b;B
stage.b.description;Zone data not found.
stage.b.sign;N ISRO
stage.birthday;Birthday
stage.birthday.description;I hope you brought gifts.
stage.birthday.sign;FOR HE'S A JOLLY GOOD DEMON
stage.blight;Blight
stage.blight.description;The black root of reality takes hold.
stage.blight.sign;KEEP AWAY (I'M FULL OF TERMITES)
stage.bloodway;Bloodway
stage.bloodway.description;Through the bloody river of time.
stage.bloodway.sign;MILES TO GO.
stage.blossom;Blossom
stage.blossom.description;We exist outside of time.
stage.blossom.sign;IT IS NOT SAFE HERE
stage.brink;Brink
stage.brink.description;In pursuit of the void.
stage.brink.sign;THIS IS NOT THE END
stage.cavern;Cavern
stage.cavern.description;Power through the darkness.
stage.cavern.sign;WATCH YOUR HEAD
stage.chicken-coop;Chicken Coop
stage.chicken-coop.sign;BE CAREFUL WHO YOU TRUST
stage.christmas;Christmas
stage.christmas.description;Santa's domain.
stage.christmas.sign;SANTA'S WATCHING
stage.convoy;Convoy
stage.convoy.description;Aboard the starship.
stage.convoy.sign;WELCOME UNIT 7R-V39! WE HOPE YOU SLEPT SOUNDLY
stage.crypt;Crypt
stage.crypt.description;The source of the darkness...
stage.crypt.sign;SECRET STAGE 02
stage.default;Default
stage.default.description;No nonsense.
stage.default.sign;None
stage.delta;Delta
stage.delta.description;The truth that lies below.
stage.delta.sign;COSTS ONE PENNY TO CROSS OVER. NO REFUNDS.
stage.desert;Desert
stage.desert.description;Endure the blistering sun.
stage.desert.sign;HAS ANYONE SEEN THE OASIS?
stage.doom;Doom
stage.doom.description;Forever... nothing.
stage.doom.sign;SECRET STAGE 04
stage.dungeon;Dungeon
stage.dungeon.description;The source of the darkness...
stage.dungeon.sign;YOU WILL NOT MAKE IT OUT OF HERE ALIVE
stage.easter;Easter
stage.easter.description;The land of egg and bunny.
stage.easter.sign;TIP: RABBITS DON'T LAY EGGS
stage.elysium;Elysium
stage.elysium.description;Gods, too, must fall.
stage.elysium.sign;PROPERTY OF ZEUS. DO NOT TOUCH
stage.entropy;Entropy
stage.entropy.description;).noisulli na si raW
stage.entropy.sign;WHERE AM I?
stage.farm;Farm
stage.farm.description;Evil is at your door.
stage.farm.sign;BE CAREFUL WHO YOU TRUST
stage.forest;Forest
stage.forest.description;The journey begins here.
stage.forest.sign;BEWARE: MONSTERS NEARBY
stage.fungus;Fungus
stage.fungus.description;A different kind of forest.
stage.fungus.sign;DO NOT BREATHE IN THE SPORES!!
stage.g;G
stage.g.description;Zone data not found.
stage.g.sign;OD
stage.galaxy;Galaxy
stage.galaxy.description;A different perspective.
stage.galaxy.sign;IN SPACE NO ONE CAN HEAR YOU MISCLICK
stage.garden;Garden
stage.garden.description;A moment of peace.
stage.garden.sign;HELP YOURSELF TO THE STRAWBERRIES
stage.getaway;Getaway
stage.getaway.sign;THE OLD WORLD ENDS HERE
stage.glass;Glass
stage.glass.description;Point of no return.
stage.glass.sign;YOUR ENDURANCE IS ADMIRABLE
stage.graveyard;Graveyard
stage.graveyard.description;Please do not disturb the dead.
stage.graveyard.sign;HERE LIE YOUR REMAINS
stage.grotto;Grotto
stage.grotto.description;Reality bends around the passage.
stage.grotto.sign;THE HIEROGLYPHS WERE MEANT TO WARN US
stage.hallow;Hallow
stage.hallow.description;Less green than you remember.
stage.hallow.sign;BEWARE: MONSTERS NEARBY
stage.halloween;Halloween
stage.halloween.description;OooooOOooOOoo
stage.halloween.sign;DON'T DEAD OPEN INSIDE
stage.hearth;Hearth
stage.hearth.description;Make the season bright.
stage.hearth.sign;YOU CAN'T RUN FROM SANTA
stage.hell;Hell
stage.hell.description;Retreat ever further into the mind.
stage.hell.sign;WOW, WHAT ARE THESE SIGNS MADE OF
stage.hinterland;Hinterland
stage.hinterland.description;Beyond life and death.
stage.hinterland.sign;IT IS NOT TOO LATE TO ABORT THIS QUEST
stage.igloo;Igloo
stage.igloo.sign;THE HIEROGLYPHS WERE MEANT TO WARN US
stage.island;Island
stage.island.description;So many colors!
stage.island.sign;WELCOME TO PARADISE
stage.lagoon;Lagoon
stage.lagoon.description;Start again.
