key;en

stranger.nomad;Nomad
stranger.nomad.price;Price: {cost} coins
stranger.nomad.sell.consumable;Selling {item}!
stranger.nomad.sell.magic;Selling magic items!
stranger.nomad.sell.legendary;Selling legendary items!
stranger.nomad.sell.mana;Selling {mana} mana!
stranger.nomad.sell.treasure;Selling treasure chests!
stranger.nomad.sell.apples;Selling {amount} apples!
stranger.nomad.sell.fail;You don't have enough coins!
stranger.nomad.buy.item;Buying {item}!
stranger.nomad.buy.item.fail;Right, you don't have {item}!

stranger.plant;Hungry Plant
stranger.plant.description;Feed me your items!
stranger.plant.reward;[{v}/{max}] Reward: {reward}
stranger.plant.reward.coins;{amount} coin
stranger.plant.reward.coins.plural;{amount} coins
stranger.plant.reward.souls;{amount} soul
stranger.plant.reward.souls.plural;{amount} souls
stranger.plant.reward.mana;{amount} mana
stranger.plant.reward.mana.plural;{amount} mana
stranger.plant.reward.present;Gain a Present

stranger.blacksmith;Blacksmith
stranger.blacksmith.description;Got {cost} coins? I'll forge you some {type} armor in {turns} turns!
stranger.blacksmith.busy;Still hammerin' away!
stranger.blacksmith.progress;[{passed.turns}/{turns}]

stranger.priest;Priest
stranger.priest.description;I can remove an Omen and get rid of your negative morality for {cost} coins!
stranger.priest.fail;Even soldiers of God need to eat!

stranger.bagman;Bagman
stranger.bagman.description.empower;I empower monsters by {power}!
stranger.bagman.description.weaken;I weaken monsters by {power}!
stranger.bagman.description.neutral;Having trouble with those monsters?
stranger.bagman.description.prompt;Give me {cost} coins and I'll help you out...
stranger.bagman.interact;You got it...

stranger.elder;Elder
stranger.elder.description;I can activate your mastery's ultimate ability for {cost} coins...

stranger.gambler;Gambler
stranger.gambler.description;I'll bet you {cost} coins that I can move to a hidden cell without getting hurt! If I'm wrong, well, you can have whatever I've got.
stranger.gambler.balance;Currently has: {coins} coins

stranger.doctor;Doctor
stranger.doctor.description;I will restore {lives} life for {cost} coins, but you'll owe me {fee} more when you leave.
stranger.doctor.description.plural;I will restore {lives} lives for {cost} coins, but you'll owe me {fee} more when you leave.
stranger.doctor.description.extra;Don't forget, you still owe me {fee} coins! Need another heal? I will restore {lives} life for {cost} coins, but then you'll owe a total of {new_fee} coins later.
stranger.doctor.description.extra.plural;Don't forget, you still owe me {fee} coins! Need another heal? I will restore {lives} lives for {cost} coins, but then you'll owe a total of {new_fee} coins later.
stranger.doctor.balance;Currently has: {coins} coins

stranger.mage;Mage
stranger.mage.description;I will cast {item} on a random cell for {cost} coins!
stranger.mage.description.no-item;I seem to have lost my {item}!
stranger.mage.description.charging;I need {mana} more mana before I can cast {item} again!
stranger.mage.lost-item;Oh no! I lost my {item}!

stranger.scribe;Scribe
stranger.scribe.increase.description;I will add 1 to each of your heirlooms for {cost} coins!
stranger.scribe.copy.description;I will copy your first {slot.count} items into their heirloom slots for {cost} coins!
stranger.scribe.reactivate.description;I will reactivate your heirloom slots for {cost} coins!

stranger.pyro;Pyro
stranger.pyro.description;Flares are my thing!! Give me {cost} coins and I'll rotate clockwise!

stranger.waterboy;Waterboy
stranger.waterboy.description;I love bubbles! Pay me {cost} coins and I'll move over one cell.
stranger.waterboy.move.fail;I cannot move there!

stranger.mercenary;Mercenary
stranger.mercenary.description;Give me {cost} coins and I will fight for you!
